Br. no.,Sen. node,Rec. node,Real load (kw),Reac. Load (kVAr),Resistance (ohms),Reactance (ohms),Sub.Volt. (kV),S base (kVA)
0,0,0,0,0,-,-,12.66,10000
1,1,2,100,60,0.0922,0.047,,
2,2,3,90,40,0.493,0.2511,,
3,3,4,120,80,0.366,0.1864,,
4,4,5,60,30,0.3811,0.1941,,
5,5,6,60,20,0.819,0.707,,
6,6,7,200,100,0.1872,0.6188,,
7,7,8,200,100,0.7114,0.2351,,
8,8,9,60,20,1.03,0.74,,
9,9,10,60,20,1.044,0.74,,
10,10,11,45,30,0.1966,0.065,,
11,11,12,60,35,0.3744,0.1238,,
12,12,13,60,35,1.468,1.155,,
13,13,14,120,80,0.5416,0.7129,,
14,14,15,60,10,0.591,0.526,,
15,15,16,60,20,0.7463,0.545,,
16,16,17,60,20,1.289,1.721,,
17,17,18,90,40,0.732,0.574,,
18,2,19,90,40,0.164,0.1565,,
19,19,20,90,40,1.5042,1.3554,,
20,20,21,90,40,0.4095,0.4784,,
21,21,22,90,40,0.7089,0.9373,,
22,3,23,90,50,0.4512,0.3083,,
23,23,24,420,200,0.898,0.7091,,
24,24,25,420,200,0.896,0.7011,,
25,6,26,60,25,0.203,0.1034,,
26,26,27,60,25,0.2842,0.1447,,
27,27,28,60,20,1.059,0.9337,,
28,28,29,120,70,0.8042,0.7006,,
29,29,30,200,600,0.5075,0.2585,,
30,30,31,150,70,0.9744,0.963,,
31,31,32,210,100,0.3105,0.3619,,
32,32,33,60,40,0.341,0.5302,,
