Time,P-Industrial (%),P-Commercial (%),P-Residential (%),Q-Industrial (%),Q-Commercial (%),Q-Residential (%),,,Bus,Type
00:00,16.39258834,41.28555977,81.98035035,7.083759791,76.33103702,90.54659648,,,1,0
00:15,16.14739041,41.20138869,82.62033834,6.588473884,74.51321463,91.36438313,,,2,3
00:30,16.15710825,41.4817024,80.10856271,6.373701234,74.36733289,93.48126169,,,3,3
00:45,16.28259193,40.18320769,82.68053625,6.119515249,73.54050773,93.93177396,,,4,3
01:00,16.34001395,40.11014457,81.86284231,5.856032828,72.44204301,96.22544545,,,5,3
01:15,15.58539997,39.37740518,79.58349726,6.071604389,75.9356794,94.37386437,,,6,3
01:30,15.47314967,38.79709706,78.56007105,6.030447519,76.11146033,97.76542942,,,7,3
01:45,15.51689569,38.98248022,79.94531522,6.192863467,76.49989349,98.47171596,,,8,3
02:00,14.88843044,40.53703805,77.5272455,5.956617713,76.74829499,94.87912676,,,9,3
02:15,14.37231474,39.58166532,79.92958956,6.198343649,77.99082699,98.16682763,,,10,3
02:30,14.8599329,38.95534407,78.11255107,6.456048187,77.82948082,97.5087468,,,11,3
02:45,14.80891634,37.29615066,81.16128346,6.302033464,76.9240691,100,,,12,3
03:00,14.95801175,36.11958411,80.58399608,6.598756968,75.98575695,99.38242725,,,13,3
03:15,14.88558217,37.72695402,80.08889752,6.789793162,73.45347722,97.69621616,,,14,3
03:30,14.91411902,37.54838626,81.3825029,6.640337567,73.97636593,96.73983066,,,15,3
03:45,14.70819481,37.74464509,83.02527951,6.620030326,77.99013862,95.21941585,,,16,3
04:00,14.77246411,36.26574098,81.87571414,6.437796093,78.10214721,92.12627809,,,17,3
04:15,15.74893447,39.24654054,79.8424049,7.042808955,77.7112597,92.14685932,,,18,3
04:30,16.45682884,38.81592715,81.92330195,7.512243066,74.52461537,89.37223165,,,19,2
04:45,16.6251885,40.18841384,81.46452633,8.106311759,77.71595125,89.24599498,,,20,2
05:00,17.18461876,42.79248017,81.20084175,8.504020802,75.22428814,89.22365632,,,21,2
05:15,21.29652641,44.98669516,84.75543506,12.50842097,76.72465898,87.24163019,,,22,2
05:30,24.80454122,49.50322897,84.48009236,16.33533712,75.93360424,87.84538327,,,23,2
05:45,28.58461923,55.4194464,84.95976164,19.32771284,75.12525625,86.26657941,,,24,2
06:00,31.63659313,59.18059565,88.42378097,20.38611608,75.50679867,84.65793426,,,25,2
06:15,41.08932925,62.29460042,88.1046219,33.66189555,74.22305077,85.43362199,,,26,1
06:30,52.94949643,70.13802667,89.87048,45.89485272,76.69625473,86.38829754,,,27,1
06:45,65.23293848,75.54182839,93.70803842,57.88841022,78.14103863,87.20481089,,,28,1
07:00,75.66206944,75.35671554,95.89539614,68.23197726,74.89614092,86.85391774,,,29,1
07:15,80.24229752,81.01106996,93.8947677,78.71024501,82.35746725,86.75600307,,,30,1
07:30,89.29050505,88.07113899,94.51929868,82.66541237,84.17704303,88.73442248,,,31,1
07:45,90.77584026,95.73410618,96.24217526,91.29071359,88.35063389,86.56332924,,,32,1
08:00,97.69871715,98.63704314,94.56302271,100,96.50778488,83.71487058,,,33,1
08:15,100,98.93389262,97.46492435,98.33788767,97.98418433,85.89034419,,,,
08:30,96.81274891,98.38929818,94.71063913,95.72717005,95.25759097,90.99601922,,,,
08:45,95.59878469,99.30768323,95.88457271,94.9578826,96.9867399,88.48533961,,,,
09:00,95.45643106,97.76072955,94.10779429,95.70744371,99.38463378,92.45222298,,,,
09:15,94.91814646,97.40573977,97.16732591,97.30228437,100,91.51292725,,,,
09:30,94.53374956,100,94.65075969,95.05360586,99.47809823,94.99218062,,,,
09:45,93.72792996,99.65572787,92.58118167,96.49176159,100,92.35798891,,,,
10:00,91.9741805,100,95.29122813,94.70943273,97.48822235,92.53098128,,,,
10:15,91.37374442,99.68981194,92.031838,95.27474339,96.51103712,97.11539706,,,,
10:30,85.21932978,100,92.85552737,87.84650076,96.86708348,98.47398026,,,,
10:45,83.96357034,100,91.87645791,84.39954863,99.28410314,96.70080621,,,,
11:00,82.07154887,99.79130667,93.09194879,84.99368138,100,96.75210224,,,,
11:15,76.0006217,96.83106167,92.49017437,77.41913198,100,95.57689449,,,,
11:30,67.92674858,99.74605404,94.07745896,70.18100637,100,96.01427254,,,,
11:45,62.85598953,97.82283153,91.80472592,65.49924433,96.45670152,92.01653582,,,,
12:00,56.04631368,99.52020041,93.34471187,56.64439123,100,94.96457354,,,,
12:15,57.53893779,98.49634518,91.8755157,57.25320222,99.04069777,91.85286877,,,,
12:30,56.40722267,97.04616279,95.21933218,57.08472197,99.76406185,88.39493292,,,,
12:45,59.43440749,96.05897975,92.25552907,58.69811066,100,82.64858967,,,,
13:00,61.77340258,96.88161759,90.95635822,56.98784762,99.74899348,83.98325388,,,,
13:15,66.57543781,91.9565569,94.06529892,64.34247594,99.20491689,81.20142095,,,,
13:30,73.52968724,92.18218377,88.62969829,70.60909672,100,77.43157327,,,,
13:45,81.12118124,92.2387245,91.54684556,76.95070983,95.87834772,78.22274516,,,,
14:00,88.33166821,92.48944567,91.76382026,84.01518188,98.4766573,78.28548432,,,,
14:15,89.40190414,91.78304382,89.85757522,83.82839261,97.98766931,77.15071597,,,,
14:30,88.2303528,85.40890683,91.41856529,83.08046113,93.70932909,74.07628744,,,,
14:45,86.53565819,84.31230463,90.37107117,84.60836494,91.1745785,73.71878246,,,,
15:00,89.11898635,82.44506883,87.96851118,83.50536171,88.78733154,74.86026714,,,,
15:15,84.86674766,79.36828665,91.73687459,78.61214628,90.76001946,74.70339053,,,,
15:30,85.67291509,81.06698562,91.29876317,76.01113212,89.70702143,72.33377799,,,,
15:45,79.39560443,76.54464118,89.06950924,71.85215893,87.63676289,68.7258388,,,,
16:00,80.33423701,78.49154105,88.24900247,69.47600077,87.89573919,72.1956529,,,,
16:15,72.15685616,75.9550531,88.74972526,62.90027505,88.81198978,69.57760871,,,,
16:30,67.42608353,75.69089748,88.28687417,56.46990992,87.98040669,71.87466009,,,,
16:45,62.00139346,72.16384127,87.77243586,53.28784212,87.63368101,71.29819874,,,,
17:00,59.84863033,73.7379119,90.64604313,50.8506938,86.85111,70.74608292,,,,
17:15,54.11243522,73.50464608,90.59754521,46.49205091,89.28522054,69.11782704,,,,
17:30,50.05165047,73.39080079,91.5028386,44.52453179,88.6364737,68.56921743,,,,
17:45,48.86367631,77.53796254,93.65497135,43.27011157,87.70552466,66.40366457,,,,
18:00,47.2643851,74.62408802,94.34600522,39.6936404,90.68044003,64.70693891,,,,
18:15,47.60281531,76.66481855,94.89392059,41.03775732,89.54432969,64.34836692,,,,
18:30,48.10875956,73.44223251,95.49544328,40.2659691,85.63291964,65.25901191,,,,
18:45,47.38528795,73.32467091,97.02394707,41.43347728,88.24489465,63.54402526,,,,
19:00,46.70817821,74.88234872,95.48847648,41.18528036,82.9662854,65.21641975,,,,
19:15,47.73287148,74.36136899,97.41656196,39.78016887,83.2005548,62.95933282,,,,
19:30,46.62118439,69.01821209,99.01854267,40.57957206,86.26073373,66.54142863,,,,
19:45,46.41571114,71.4303783,98.33746541,41.4745249,84.83449518,64.45263249,,,,
20:00,47.10952967,70.24869361,98.66922784,39.42892696,84.96613866,67.25068699,,,,
20:15,47.42026582,66.68333272,100,40.3729777,86.24150801,65.90191679,,,,
20:30,44.40967621,63.65694265,100,39.40202227,85.28651272,63.21640763,,,,
20:45,45.09767404,61.96080966,96.47703219,39.97841749,83.2713477,62.65766758,,,,
21:00,44.26100444,61.86573273,96.39838361,38.48284765,86.20248722,62.02463886,,,,
21:15,39.34493607,59.55486331,92.24736361,35.25111069,81.10808413,59.44972811,,,,
21:30,35.87812842,56.82679293,88.41916768,30.50302712,80.97258605,62.14039377,,,,
21:45,32.64172814,54.89015267,87.89391697,25.30926386,80.09921599,59.42690668,,,,
22:00,29.50271428,56.58528668,85.07272901,21.83916093,82.44936058,61.23431748,,,,
22:15,27.77904062,52.95045755,84.61816774,19.1543236,79.81103913,64.56923769,,,,
22:30,25.10794637,50.22413945,82.96208398,17.02225589,81.35297449,66.7625724,,,,
22:45,22.6138861,48.5963224,81.32651583,14.28156687,81.70112903,66.2686343,,,,
23:00,21.15594794,48.22806819,82.47933589,11.3646374,81.89284024,69.46154185,,,,
23:15,19.60185972,46.43911725,81.0169911,10.14980246,81.05470466,74.09589101,,,,
23:30,18.51047407,45.43240298,84.01625003,8.848501756,81.32371698,73.20772492,,,,
23:45,16.88612747,43.57222392,80.69997676,7.724476926,76.88882118,75.62400696,,,,
Average,51.5319,69.7368,89.4781,46.1198,85.9167,81.6797,,,,
Max,100,100,100,99.9996,100,100.0018,,,,
