Time (UTC-5),G(i) (%)
00:00,0
00:15,0
00:30,0
00:45,0
01:00,0
01:15,0
01:30,0
01:45,0
02:00,0
02:15,0
02:30,0
02:45,0
03:00,0
03:15,0
03:30,0
03:45,0
04:00,0
04:15,0
04:30,0
04:45,0
05:00,0
05:15,0
05:30,0
05:45,0
06:00,0
06:15,0
06:30,0
06:45,2
07:00,5.1
07:15,7.95
07:30,11.55
07:45,15.78
08:00,20.62
08:15,26.02
08:30,31.94
08:45,38.33
09:00,45.06
09:15,51.99
09:30,58.86
09:45,65.58
10:00,71.89
10:15,77.77
10:30,83.13
10:45,87.82
11:00,91.94
11:15,95.24
11:30,97.66
11:45,99.36
12:00,100
12:15,99.36
12:30,97.66
12:45,95.24
13:00,91.94
13:15,87.82
13:30,83.13
13:45,77.77
14:00,71.89
14:15,65.58
14:30,58.86
14:45,51.99
15:00,45.06
15:15,38.33
15:30,31.94
15:45,26.02
16:00,20.62
16:15,15.78
16:30,11.55
16:45,7.95
17:00,5.1
17:15,2
17:30,0
17:45,0
18:00,0
18:15,0
18:30,0
18:45,0
19:00,0
19:15,0
19:30,0
19:45,0
20:00,0
20:15,0
20:30,0
20:45,0
21:00,0
21:15,0
21:30,0
21:45,0
22:00,0
22:15,0
22:30,0
22:45,0
23:00,0
23:15,0
23:30,0
23:45,0
